Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
AAUSat-4,NR,University of Aalborg,Denmark,Civil,Earth Observation,LEO,442.0,687.0,0.0177,98.2,95.9,4/25/2016,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460.0
ABS-2,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35778.0,35793.0,0.000178,0.08,1436.03,2/6/2014,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508.0
ABS-2A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35700.0,35700.0,0.0,0.0,1436.1,6/15/2016,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588.0
ABS-3,Philippines,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35769.0,35802.0,0.000391,0.05,1436.07,8/19/1997,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901.0
ABS-3A,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35788.0,35803.0,0.000178,0.1,1436,3/2/2015,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424.0
ABS-4,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35780.0,35793.0,0.000154,0.01,1436.1,3/13/2004,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184.0
ABS-6,NR,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35777.0,35794.0,0.000202,0.01,1436.08,9/26/1999,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924.0
ABS-7,South Korea,Asia Broadcast Satellite Ltd.,Multinational,Commercial,Communications,GEO,35780.0,35791.0,0.00013,0.01,1436.06,9/4/1999,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894.0
USA 139,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,GEO,35560.0,36013.0,0.00537,7.72,1436.14,5/9/1998,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336.0
USA 171,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,GEO,35589.0,35984.0,0.00468,3.2,1436.1,9/9/2003,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937.0
USA 202,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,GEO,35714.0,35937.0,0.00264,2.89,1438.8,1/18/2009,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490.0
USA 237,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,GEO,35771.0,35805.0,0.000403,0.0,23.94,6/29/2012,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528.0
USA 268,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,GEO,35613.0,35903.0,0.00344,7.51,1437.19,6/11/2016,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584.0
USA 235,USA,US Air Force,USA,Military,Communications,GEO,35772.0,35801.0,0.000344,2.34,1436.1,5/3/2012,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254.0
USA 246,NR,US Air Force,USA,Military,Communications,GEO,35700.0,35803.0,0.00122,4.2,1436.1,9/18/2013,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256.0
Aeneas,USA,Department of Homeland Security,USA,Government,Technology Development,LEO,480.0,790.0,0.0221,0.02,97.4,9/13/2012,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760.0
Aerocube 4.5A,USA,Aerospace Corporation,USA,Commercial,Technology Development,LEO,495.0,791.0,0.0211,64.6,97.5,9/13/2012,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767.0
Aerocube 4.5B,USA,Aerospace Corporation,USA,Commercial,Technology Development,LEO,499.0,792.0,0.0209,64.6,97.6,9/13/2012,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768.0
Aerocube 5A,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,443.0,886.0,0.0315,120.3,98,12/6/2013,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465.0
Aerocube 5B,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,443.0,886.0,0.0315,120.3,98,12/6/2013,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466.0
Aerocube 5C,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,500.0,802.0,0.0215,64.78,97.74,10/8/2015,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965.0
Aerocube 6A,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,614.0,700.0,0.00612,97.98,97.88,6/19/2014,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045.0
Aerocube 6B,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,614.0,700.0,0.00612,97.98,97.88,6/19/2014,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046.0
Aerocube 7A,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,500.0,802.0,0.0215,64.6,97.4,10/8/2015,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966.0
Aerocube 8A,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,356.0,700.0,0.0249,55.0,95.19,5/20/2015,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659.0
Aerocube 8B,NR,Aerospace Corporation,USA,Commercial,Technology Development,LEO,356.0,700.0,0.0249,55.0,95.19,5/20/2015,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660.0
Eutelsat 28B,France,European Telecommunications Satellite Consortium (EUTELSAT),Multinational,Commercial,Communications,GEO,35764.0,35808.0,0.000522,0.12,1436.08,12/20/2008,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460.0
Afristar ,USA,1Worldspace,USA,Commercial,Communications,GEO,35770.0,35802.0,0.00038,0.03,1436.09,10/28/1998,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515.0
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",USA,Government,Earth Observation,LEO,544.0,552.0,0.000578,97.9,96.2,4/25/2007,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304.0
AISat-1,Germany,German Aerospace Center (DLR),Germany,Government,Communications,LEO,643.0,660.0,0.00121,98.25,97.76,6/30/2014,German Aerospace Center (DLR),Germany,Satish Dhawan Space Center,PSLV-CA,2014-034B,40054.0
AISSat-1,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,LEO,615.0,632.0,0.00122,98.0,97.2,7/12/2010,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV,2010-035C,36797.0
AISSat-2,Norway,Norwegian Coastal Admnistration,Norway,Government,Communications,LEO,625.0,631.0,0.000429,98.4,97.27,7/8/2014,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075.0
AIST-1,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,LEO,599.0,626.0,0.00193,82.4,96.9,12/28/2013,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492.0
AIST-2,Russia,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,LEO,558.0,582.0,0.00173,64.88,96.06,4/19/2013,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133.0
AIST-2D,NR,Samara State Aerospace University,Russia,Civil,Technology Development,LEO,471.0,486.0,0.0011,97.28,94.18,4/27/2016,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465.0
